Industry,role_count,avg_automation_risk,avg_human_cost_hr,avg_inference_cost,avg_sub_year,avg_elasticity
Real Estate,72,100.0,73.8,0.2486,2028.8,0.97
Unknown,11,100.0,89.8,0.2252,2028.2,1.0
MLOps,77,100.0,101.6,0.2831,2028.4,0.96
Logistics,76,99.9,49.3,0.1888,2028.5,1.0
Retail,75,99.6,39.0,0.1602,2028.0,0.98
Government,79,99.4,58.1,0.2381,2029.7,0.89
Manufacturing,75,99.4,41.4,0.1704,2028.5,0.98
Telecom,79,98.8,66.8,0.292,2028.6,0.9
Consulting,77,98.4,115.0,0.3909,2028.3,0.91
Insurance,78,98.1,75.9,0.2886,2029.2,0.93
Education,76,97.6,49.9,0.2673,2028.7,0.91
Finance,77,97.0,102.9,0.402,2029.6,0.88
Energy,75,96.8,83.5,0.401,2029.5,0.86
Legal,78,95.3,123.9,0.3911,2029.8,0.89
Healthcare,79,91.8,132.0,0.4104,2030.5,0.87
Creative,73,75.8,77.1,0.3717,2028.1,0.82
